Год янв фев мар апр май июн июл авг сен окт ноя дек средняя 
1892 -15.7 -13.6 -6.3 3.8 9.7 15.1 21.5 21.7 15.3 9 -1.7 -12.6 3.9 
1893 -17.2 -14.2 -3.4 3.8 9.2 14.3 18.8 20 15.9 9 -2.2 -13.5 3.4 
1894 -16.8 -10.3 -2.1 5.2 9 17 19.5 22.4 17.8 9 -0.2 -9.8 5.1 
1895 -17.2 -13.9 -7.3 3.5 9.5 12.6 16.4 19.5 15.7 9.7 -1.3 -8.6 3.2 
1896 -15 -13.1 -6.2 3.7 10.1 14.4 17.5 20.5 15.8 9.4 0.8 -9.7 4 
1897 -12.8 -10.5 -3.1 4.7 10.1 12.3 18.1 21 17.4 8.3 0.2 -9.1 4.7 
1898 -8.6 -6.6 -6.5 4.1 9.8 13.4 19 21.4 14.3 10.1 1.5 -5.9 5.5 
1899 -9.5 -7.6 -0.4 4.8 10.3 14.8 19.3 19.4 17.4 9 1.2 -7.8 5.9 
1900 -14 -9.1 -1.3 4.9 11.2 14.6 18.3 21.2 18.3 10.6 1.3 -9.5 5.5 
1901 -10.8 -9.2 -0.2 5.6 11.1 13.7 17.7 21.4 17.5 9.6 0.9 -12.1 5.4 
1902 -14 -9.5 -0.7 5.4 8.1 12.6 15.8 18.8 16.2 10.5 2.6 -7.6 4.9 
1903 -9.8 -7.1 0.3 6.8 9.2 13.8 18.4 21.1 17.4 8.3 -0.9 -11 5.5 
1904 -13.7 -9.3 -3.8 5.5 10.7 14.8 19.5 21.9 16.8 7.5 0 -9.6 5 
1905 -6.7 -8.9 -4.4 3.7 10.7 14.3 18.6 19.9 16.9 10.1 999.9 -6.3 999.9 
1906 -15.3 -10.3 -1.4 6 10.3 12 17.7 21.6 16.9 9.9 -2.9 -8 4.7 
1907 -11.3 -10.7 -1.4 5.2 11.2 14.3 18.2 20.9 16.8 10 -1.8 -11.2 5 
1908 -14.5 -8 -2.7 5.9 9.2 14.4 16.5 21.3 16.4 11 -1.9 -7.1 5 
1909 -13.1 -8.5 -3.3 3.3 9.1 14 18.7 20.6 16.8 999.9 0.7 -10.9 999.9 
1910 -14.3 -10.8 -3.4 5.1 9.3 14.4 16.6 18.6 16 10.3 -0.9 -14.4 3.9 
1911 -15.5 -9.5 -5 4.3 10.7 13.9 18.2 19.1 17.2 9.3 1.8 -9.1 4.6 
1912 -11.3 -6.2 -1.6 4.5 9.5 13.9 18.6 19.9 15 6.8 -4.2 -12.2 4.4 
1913 -14.3 -9.1 -3.2 5.9 10.8 13.6 15.4 19.6 16.3 8.3 0.1 -9.4 4.5 
1914 -10.9 -8.9 -2 4.8 10.8 14.3 19.6 20 17.3 10.3 -2 -9.3 5.3 
1915 -17.4 -11.9 -6 2.9 7.4 13.1 17.3 20.2 16.1 8.5 0.6 -7.6 3.6 
1916 -11.3 -9.3 -4.9 3.9 8.5 14.8 18.8 22.6 16.2 10.1 0.7 -10 5 
1917 -16.3 -11.1 -4.5 3.9 9 13.9 18.5 21.2 16.3 9.4 -4.5 -11.5 3.7 
1918 -15 -9.4 -2.4 4.4 9.4 13 16.4 19.3 16.1 8.6 -1.9 -10.9 4 
1919 -18.3 -8.3 -2.5 3.6 8.4 13.2 18.9 20.4 16.2 9.9 0.2 -11.6 4.2 
1920 -12.4 -14.6 -1.8 4.3 9.4 14.1 19.7 21 15.2 9 -0.4 -10.6 4.4 
1921 -12 -9.8 -3.7 4.2 8.2 13.4 18.6 21.8 16.3 8.3 -3 -10.2 4.3 
1922 -21.7 -7.2 -4.6 4.5 7.7 13.6 17.5 20.5 15.5 9.6 -4.7 -10 3.4 
1923 -13.9 -9.8 -1.3 3.7 8.9 11.9 17.1 20.9 15.4 9.3 -1.5 -9.2 4.3 
1924 -14.9 -13.3 -5.3 3.3 9.1 13.6 21.2 21.8 16.9 7.4 -2 -10 4 
1925 -16.1 -12.2 -5.3 5.2 8.5 15.3 17.9 20.4 16.9 9.1 0.5 -10.7 4.1 
1926 -14.7 -8.9 -2.9 3.4 9.8 12.9 18.3 19.9 17.6 6.3 -0.6 -12.4 4.1 
1927 -14.5 -12.3 -4.2 3.9 8.9 13.3 19.1 20.2 15.8 10.5 -0.9 -11.9 4 
1928 -15.3 -11.9 -3.7 4.9 9.1 13 18.5 21 17.1 8.6 -1.9 -13 3.9 
1929 -15.6 -12.2 -4.2 3.7 7.4 13.1 19.1 21.6 15 8.7 0.1 -11.1 3.8 
1930 -13.4 -10.5 -2 4.2 9.6 13.6 19.1 20.5 16.6 10.3 -2.7 -9.9 4.6 
1931 -15.7 -14.7 -2.3 2.6 7.9 10.2 14.7 20.4 15.4 8.7 -0.2 -10.5 3 
1932 -8.1 -11.1 -3.9 4 7.7 11.2 15.1 18.5 16.5 9.7 -0.8 -7.8 4.3 
1933 -16.1 -14.1 -5.2 3.9 9.7 14 19.1 20.2 16.9 9.4 -1.1 -9.2 4 
1934 -14.5 -8.2 -4.4 4.3 10 13.7 15.9 19.5 15.8 8.7 0.1 -6.1 4.6 
1935 -13.2 -5.5 -1.9 4.1 9.3 12.6 17.5 19.4 16.4 11.3 -2.7 -12.7 4.6 
1936 -17.4 -13.5 -5 4 8.7 14.1 17.4 19.9 16.5 9.2 0.4 -7.9 3.9 
1937 -12.1 -9.8 -5.3 3.7 10.2 13.2 19.8 20.8 16.7 9.5 -0.5 -13.2 4.4 
1938 -14 -11.3 -0.6 5.5 9.2 13.1 18.6 22.3 15.7 10.9 -1.1 -12.5 4.7 
1939 -16 -10 -1.6 4.5 8.7 12.7 19.4 22 16.9 8.5 -0.4 -7 4.8 
1940 -16.1 -9.7 -1.7 4.1 10.2 11.8 17.1 19.2 16 9.9 0.3 -9.2 4.3 
1941 -14.8 -11.3 -5 2.5 8.4 12.9 15.2 17.6 16 8.9 1.4 -10.2 3.5 
1942 -14 -12.4 -1.3 5.2 9.4 13.5 18.9 19.2 15.6 8.7 -1 -10.9 4.2 
1943 -12.7 -8.3 -1.2 5.1 8.8 13.2 18.4 21 16.9 10.7 -1.3 -9.3 5.1 
1944 -13.6 -10.5 -1.5 3.8 10.5 14.4 19.6 21.2 16.3 9.7 -3.3 -13.9 4.4 
1945 -17.2 -13.1 -3.9 5.5 6.6 11.3 14.8 19.3 16.6 9.4 1.1 -12.5 3.2 
1946 -13 -9.7 -4.5 5.9 8.6 16.8 18.8 20.9 16.5 8.7 0.5 -11.1 4.9 
1947 -14.5 -11.9 -5.1 3.8 9.2 12.2 16 19.4 16.3 9.5 -3.7 -17.6 2.8 
1948 -12.2 -9.3 -3.6 5.1 11 13 17.8 21.2 16.5 9.3 -0.2 -7.1 5.1 
1949 -9.9 -8.3 -4.6 3.3 10.5 12.5 17.9 20.8 16.7 9.9 -0.4 -9.7 4.9 
1950 -12.3 -10 -3 4 9.7 15.2 20 22.8 16.3 8.8 -2.9 -12.1 4.7 
1951 -16.2 -10.4 -3.9 4.3 10.4 13.3 17.6 22.2 14.8 8.8 -0.4 -5.6 4.6 
1952 -11.9 -13.6 -2.1 4.7 11.3 13.7 17.6 20.8 16 9.2 -3 -12.6 4.2 
1953 -15.8 -9.9 -1.5 4.6 7.7 13.2 17.1 19.9 15.9 9.7 -3.8 -7.6 4.1 
1954 -13 -9 -3.6 4.9 9.8 10.9 15.1 18.2 16.4 8.1 0.4 -11.6 3.9 
1955 -12.7 -12.5 -5.2 4.3 7.8 13.1 19.6 21.9 16.2 8.9 0.6 -4.9 4.8 
1956 -13.8 -12.5 -3.9 4.8 10.3 12.3 14.5 19 17 9.6 -4 -14 3.3 
1957 -11.5 -12.9 -5.7 4.7 9.8 12.7 16.5 18.4 14.8 8.9 1.9 -7.8 4.2 
1958 -13.8 -9.2 -3.6 4.1 9.4 14.5 18.8 20 16.6 8.8 1.7 -6.3 5.1 
1959 -12.9 -6.4 0.6 4.7 10 12.3 16.9 19.1 16.5 10.3 -1.9 -9.6 5 
1960 -15.4 -6.3 -3.2 3.3 8.4 11 17.4 20.1 16.8 7.2 -1.3 -11.2 3.9 
1961 -14.1 -10.4 -1.9 4.8 10.2 14.7 20 20.1 16.3 8.4 0.5 -8.6 5 
1962 -12.3 -9.2 -3.5 4.7 9.5 12.6 16.2 18.6 15.3 7.8 -4.3 -7.8 4 
1963 -16.4 -10.6 -1.7 4.8 10 12.1 16.3 18.4 15 7.6 -2.1 -7.8 3.8 
1964 -10.8 -13 -2.3 2.9 10.6 12.8 17.3 18.9 14 7.8 -1.3 -8.8 4 
1965 -11.6 -10.9 -2.9 4.1 9.9 15.5 17.6 19.8 16.9 10.1 -0.4 -11.4 4.7 
1966 -13.7 -10.7 -3.7 2.3 10 11.6 16.5 18.2 13.6 9.7 -0.9 -12.7 3.4 
1967 -12 -8.4 -1.5 4.4 10.3 12.4 16.8 21.5 14.7 9.8 -2.4 -12.7 4.4 
1968 -13.4 -11.8 -0.5 5.6 8.6 12.8 18.5 18.8 15.2 7.5 0.6 -6.9 4.6 
1969 -15 -14.2 -3.8 3.7 8.5 12.4 17.3 18.7 14.8 8 -2.4 -11.8 3 
1970 -16.1 -10.1 -7 4.3 9.8 14.4 17.2 19.3 16.5 8 -0.8 -9.8 3.8 
1971 -12.3 -9.9 -4.2 4.7 7.7 11.4 16.1 17.6 14.4 9.2 0.8 -7.9 4 
1972 -11.7 -11.5 -1.9 4.2 10 13.5 18.4 18.8 13.6 8.2 -2.8 -8.6 4.2 
1973 -11.2 -7.9 -4 5 9.4 12.3 18.9 21.1 15.4 7.6 -0.7 -9.4 4.7 
1974 -12.2 -10.9 -2 4.3 9.7 11.4 15.7 19.8 15.7 7.2 -1.8 -12 3.7 
1975 -11.2 -9.9 -1.8 5.9 9.8 13.4 16.9 21 17.2 9.2 0.9 -10.2 5.1 
1976 -11.6 -8.3 -1.9 4.9 10.3 13.3 18.4 19 14.4 7.3 -4.8 -12 4.1 
1977 -18.2 -13.1 -2.8 3.3 8.4 10.8 18.6 19.5 15.9 8.9 -0.4 -9 3.5 
1978 -12.6 -13.4 -1.7 4.4 10 13.9 19.7 21 16.1 6.7 0.2 -9 4.6 
1979 -11.4 -9.9 -1.9 3.3 9.3 13.8 17 19.5 15.6 8.3 -2 -5.8 4.7 
1980 -14.6 -10.1 -1.8 2.7 10.1 13.8 16.4 17.9 14.8 7.6 0.5 -11.4 3.8 
1981 -13.6 -9.8 -2.5 6.3 9.2 11.6 18.4 18.6 14.5 8.7 -4.2 -7.2 4.2 
1982 -12 -8 -1.3 4.3 10.2 14.7 17.3 20.1 15.5 8.1 -0.8 -7 5.1 
1983 -10.2 -10.7 -2.1 6.2 10 9.3 15.3 19.7 16.8 7.5 -0.2 -10.5 4.3 
1984 -14.5 -11.6 -5.1 3.1 8.7 14.5 18.6 20.1 15.1 6.8 -0.4 -10.4 3.7 
1985 -16.4 -9.9 -2.7 4.7 10.4 12.8 18.3 20.3 15.8 8.3 -1.5 -12.4 4 
1986 -14.5 -9.6 -1.7 4.4 9.4 12.5 14.4 18.8 15.2 6.7 -1.8 -7.7 3.8 
1987 -14.8 -9.2 -3.9 3.9 9.7 14.1 18.1 17.5 14.5 8.7 -4 -9.4 3.8 
1988 -9.7 -11.7 -2.7 3.6 8.4 13.8 16.5 20.7 15.8 9.1 -0.9 -7.6 4.6 
1989 -9.3 -5.7 -0.2 7 10.3 12.3 16.7 21.3 15.6 9.1 -0.4 -9.6 5.6 
1990 -15.1 -6.2 1.2 5.3 9.9 13.9 17.4 20.7 16.1 10.9 1.3 -7.1 5.7 
1991 -12.2 -8.8 -2.6 4.7 11.4 15.3 17.2 19.3 16.4 9.6 0.6 -8.9 5.2 
1992 -9.3 -7.4 -1 5.1 10.2 12.5 19.5 18.4 15.2 9.7 -2.4 -8.8 5.1 
1993 -11.5 -6.2 -0.8 5.1 8.9 11.9 16.6 17.7 15.7 8.8 -0.5 -8.2 4.8 
1994 -14.6 -8.1 -3.1 4.7 10.1 13.4 19.4 21.9 16.7 9.8 1.1 -8.9 5.2 
1995 -10.1 -7.1 -1.2 4.1 9.4 12.5 18.4 19.9 15.1 10.1 -0.2 -7.7 5.3 
1996 -11 -8.2 -1.2 4.5 7.9 12.6 16.6 19.1 16.3 7.9 -1.2 -8.9 4.5 
1997 -13.7 -7.2 -2.1 6.5 9.1 12.5 19.7 19.3 15.1 7.2 0.3 -7.4 4.9 
1998 -14.3 -5.5 0.7 6.5 11.5 12.6 16.9 17.8 16.3 11.5 -3.8 -8.6 5.1 
1999 -10.3 -8.5 -4.5 4.5 10.1 14.7 18.3 20 16.5 8.2 0 -8.3 5.1 
2000 -15 -10.4 -1.8 3.8 8.9 14.4 18.8 21 16 8.8 -2.5 -12.4 4.1 
2001 -16.2 -11.3 -3.2 6.4 8.6 14.7 18 20.1 16.3 10.7 2.1 -9.5 4.7 
2002 -9.4 -4.6 0.9 5.9 11.1 14.7 16.6 18.3 16.4 6.5 -5.1 -10.2 5.1 
2003 -12.1 -7.7 -0.4 6.7 10 15.2 15.8 19.3 16.7 8.9 -0.8 -7.5 5.3 
2004 -11.2 -6.7 -1.8 6.3 10.9 16.7 18.4 20 16.7 9.8 2.3 -10.1 5.9 
2005 -11.7 -12 -3.1 5.2 8.5 14.4 17 20.4 17 9.5 0.9 -12.7 4.5 
2006 -12.5 -8.8 -2.2 3.1 9.8 11.9 18.6 21.6 16.6 9.7 -0.2 -7.5 5 
2007 -7.1 -4.8 -2.4 4.8 10.1 15 17.1 20.7 16.7 9.4 -0.5 -6.4 6.1 
2008 -12.8 -7.7 1.2 6.4 9.5 14.6 19.1 20.2 17.2 10.6 -0.3 -7.4 5.9 
2009 -10.8 -7.9 -2.3 6.3 11.6 12.4 15.8 19.9 15.6 9.5 -4.2 -12.1 4.5 
2010 -12.3 -10.5 -4.8 3.6 9.6 16.7 18.7 22.3 16.5 8 -0.2 -11 4.7 
2011 -14.8 -7.2 -2.2 4.5 7.6 13.3 18 20.9 15.6 10.3 -0.1 -10.9 4.6 
2012 -15 -9.7 -2.3 3.9 9.8 12.7 18.3 19.6 16.9 9.1 -0.7 -13 4.1 
2013 -14.7 -10.5 -3.3 3.7 8.7 13.9 19.2 20.9 16 9.4 1.7 -8.6 4.7 
2014 -11.8 -10.4 -0.5 7.4 10.6 15.2 19.7 20.2 16.2 8.8 1.5 -11.8 5.4 
2015 -10.5 -7.1 0.1 5.1 10.7 13.9 18.6 20.2 17 8.9 -2.6 -6.1 5.7 
2016 -12.4 -8.3 0.3 5.2 11 12.7 18.1 21.4 16.5 7.7 -4.5 -7.7 5 
2017 -9.8 -6.6 0.4 6.8 11.1 13.7 20.3 19.6 16.9 8.5 -1.5 -11.1 5.7 
2018 -12.7 -10.6 -2.2 5.6 10.2 13.5 18.5 19.9 16.4 10.4 1 -7.7 5.2 
2019 -8.3 -5.5 1.1 6.3 11.7 13 17.1 19.6 999.9 999.9 999.9 999.9 999.9 
